NAME,URL,DESCRIPTION,PURPOSE,LANGUAGE,PROS,MODEL,TYPE,SPECTRUM,UA,UA_URL,UA_REP,OWNER,OWNER-URL,OWNER-COUNTRY
Semantic Scholar,https://www.semanticscholar.org/,Web search engine for scholarly and scientific literature.,Scientific,English,own index,Free,Hybrid,Clearnet,SemanticScholarBot,https://www.semanticscholar.org/crawler,fully,The Allen Institute for Artificial Intelligence,https://allenai.org/,United States of America
Sogou,https://www.sogou.com/,Web search engine for China.,General Puropose,Chinese,own index,Free,Crawler,Clearnet,Sogou web spider,https://www.sogou.com/docs/help/webmasters.htm#07,fully,"Sogou, Inc.",https://www.sogou.com/,People's Republic of China
Startpage,https://www.startpage.com/,Web search engine.,General Puropose,Multilingual,"privacy, anonymity  ",Free,Meta Search Engine,Clearnet,n/a,n/a,n/a,Surfboard Holding B.V.,https://www.startpage.com/,Netherlands
Swisscows,https://swisscows.com/,"Web search engine with a focus on users’ privacy, anonymity, and family friendlyness.",General Puropose,Multilingual,"privacy, anonymity  ",Free,Meta Search Engine,Clearnet,n/a,n/a,n/a,Hulbee AG,https://hulbee.com/,Switzerland
VormWeb,https://vormweb.de/,Darkweb search engine.,General Puropose,Bilingual,own index,Free,Crawler,Darknet,UNDISCLOSED,n/a,n/a,UNDISCLOSED,https://vormweb.de/,Germany
Wayback Machine,https://web.archive.org/,Web search engine for archived (historic) web documents.,Historic,English,own index,Free,Crawler,Clearnet,archive.org_bot,https://web.archive.org/web/20141022124819/http://archive.org:80/about/exclude.php,partly,Internet Archive,https://archive.org/,United States of America
WolframAlpha,https://www.wolframalpha.com/,Answer engine for the web.,Scientific,Bilingual,,Free,Knowledge Base,Clearnet,n/a,n/a,n/a,Wolfram Alpha LLC,https://www.wolframalpha.com/,United States of America
Yahoo!,https://yahoo.com/,Web search engine.,General Puropose,Multilingual,,Free,Hybrid,Clearnet,Slurp,https://help.yahoo.com/kb/SLN22600.html,fully,"Apollo Global Management, Inc.",https://www.apollo.com/,United States of America
Yandex,https://yandex.com/,Web search engine for Russia.,General Puropose,Multilingual,own index,Free,Crawler,Clearnet,Yandex,https://yandex.com/support/webmaster/controlling-robot/robots-txt.html,fully,Yandex LLC,https://yandex.com/,Russian Federation
Yep,https://yep.com/,"A revenue-sharing, web search engine.",General Puropose,Multilingual,"own index, revenue sharing  ",Free,Crawler,Clearnet,YepBot,https://yep.com/yepbot/,fully,Ahrefs Pte. Ltd.,https://ahrefs.com/,Singapore
ZapMeta,https://www.zapmeta.com/,Web search engine.,General Puropose,English,,Free,Meta Search Engine,Clearnet,n/a,n/a,n/a,Visymo Universal Search Group,https://www.visymo.com/,Netherlands
